Date,GRA Purchases,PRGT 1/2/,Totals,Year,TotClean,GDP,Percent
08/31/2022,"93,769,635,059","15,254,184,552","109,023,819,611",2022,1.09024E+11,1.06183E+14,0.001026753
12/31/2021,"89,474,552,025","14,554,823,681","104,029,375,706",2021,1.04029E+11,9.65131E+13,0.001077879
12/31/2020,"93,408,630,285","12,481,816,684","105,890,446,969",2020,1.0589E+11,8.51056E+13,0.001244224
12/31/2019,"66,945,509,865","6,590,835,450","73,536,345,315",2019,73536345315,8.76453E+13,0.000839023
12/31/2018,"55,395,611,392","6,426,181,029","61,821,792,421",2018,61821792421,8.64569E+13,0.000715059
12/31/2017,"39,585,385,873","6,522,280,669","46,107,666,542",2017,46107666542,8.14007E+13,0.000566429
12/31/2016,"49,267,630,851","6,482,647,937","55,750,278,788",2016,55750278788,7.64615E+13,0.000729128
12/31/2015,"50,757,840,741","6,575,911,158","57,333,751,899",2015,57333751899,7.51878E+13,0.00076254
12/31/2014,"69,041,563,463","6,292,755,583","75,334,319,046",2014,75334319046,7.97332E+13,0.000944831
12/31/2013,"83,899,249,061","6,174,392,682","90,073,641,743",2013,90073641743,7.76072E+13,0.001160635
12/31/2012,"90,042,348,252","5,766,292,503","95,808,640,755",2012,95808640755,7.55012E+13,0.001268969
12/31/2011,"87,276,915,790","5,308,609,594","92,585,525,384",2011,92585525384,7.38576E+13,0.001253567
12/31/2010,"55,620,104,510","4,819,344,134","60,439,448,644",2010,60439448644,6.66058E+13,0.000907421
12/31/2009,"37,221,142,436","5,079,705,286","42,300,847,722",2009,42300847722,6.08041E+13,0.000695691
12/31/2008,"17,514,964,723","3,972,372,030","21,487,336,753",2008,21487336753,6.41208E+13,0.000335107
12/31/2007,"6,036,146,757","3,796,945,581","9,833,092,338",2007,9833092338,5.83495E+13,0.000168521
12/31/2006,"9,822,640,239","3,844,020,520","13,666,660,759",2006,13666660759,5.17802E+13,0.000263936
12/31/2005,"28,432,143,237","6,282,121,668","34,714,264,905",2005,34714264905,4.77844E+13,0.000726476
12/31/2004,"55,373,766,674","6,766,029,353","62,139,796,027",2004,62139796027,4.4124E+13,0.0014083
12/31/2003,"65,032,062,712","6,880,893,268","71,912,955,980",2003,71912955980,3.91523E+13,0.001836748
12/31/2002,"63,601,058,794","6,868,671,012","70,469,729,806",2002,70469729806,3.4918E+13,0.002018151
12/31/2001,"53,477,225,409","6,424,578,684","59,901,804,093",2001,59901804093,3.3624E+13,0.001781521
12/31/2000,"42,990,531,049","6,331,595,468","49,322,126,517",2000,49322126517,3.38396E+13,0.001457526
12/31/1999,"51,061,861,875","6,434,274,362","57,496,136,237",1999,57496136237,3.27455E+13,0.001755849
12/31/1998,"60,451,017,051","6,288,825,925","66,739,842,976",1998,66739842976,3.15466E+13,0.002115598
12/31/1997,"46,559,033,783","6,009,867,422","52,568,901,205",1997,52568901205,3.16278E+13,0.001662109
12/31/1996,"36,127,472,805","5,881,609,752","42,009,082,557",1996,42009082557,3.17419E+13,0.00132346
12/31/1995,"35,929,173,412","5,657,438,528","41,586,611,940",1995,41586611940,3.10485E+13,0.001339409
12/31/1994,"25,611,676,952","4,599,768,498","30,211,445,450",1994,30211445450,2.78768E+13,0.001083747
12/31/1993,"25,196,745,031","3,942,792,899","29,139,537,930",1993,29139537930,2.58263E+13,0.001128291
12/31/1992,"23,967,172,718","3,804,463,796","27,771,636,514",1992,27771636514,2.54103E+13,0.001092926
12/31/1991,"23,378,573,926","3,285,717,796","26,664,291,722",1991,26664291722,2.37636E+13,0.001122067
12/31/1990,"20,731,851,093","2,571,911,617","23,303,762,710",1990,23303762710,2.27838E+13,0.001022821
12/31/1989,"22,315,104,224","2,334,886,562","24,649,990,786",1989,24649990786,2.01975E+13,0.00122045
12/31/1988,"24,750,004,884","1,773,964,293","26,523,969,177",1988,26523969177,1.93412E+13,0.001371369
12/31/1987,"28,751,979,125","1,866,342,930","30,618,322,055",1987,30618322055,1.73103E+13,0.001768797
12/31/1986,"33,334,905,644","2,013,169,931","35,348,075,575",1986,35348075575,1.52078E+13,0.002324343
12/31/1985,"35,194,787,249","2,470,247,948","37,665,035,197",1985,37665035197,1.28622E+13,0.002928359
12/31/1984,"34,936,772,393","2,769,874,900","37,706,647,293",1984,37706647293,1.22716E+13,0.003072668
